Number,Prefecture,Municipality
1,北海道,札幌市
2,北海道,函館市
3,北海道,小樽市
4,北海道,旭川市
5,北海道,室蘭市
6,北海道,釧路市
7,北海道,帯広市
8,北海道,北見市
9,北海道,夕張市
10,北海道,岩見沢市
11,北海道,網走市
12,北海道,留萌市
13,北海道,苫小牧市
14,北海道,稚内市
15,北海道,美唄市
16,北海道,芦別市
17,北海道,江別市
18,北海道,赤平市
19,北海道,紋別市
20,北海道,士別市
21,北海道,名寄市
22,北海道,三笠市
23,北海道,根室市
24,北海道,千歳市
25,北海道,滝川市
26,北海道,砂川市
27,北海道,歌志内市
28,北海道,深川市
29,北海道,富良野市
30,北海道,登別市
31,北海道,恵庭市
32,北海道,伊達市
33,北海道,北広島市
34,北海道,石狩市
35,北海道,北斗市
36,北海道,当別町
37,北海道,新篠津村
38,北海道,松前町
39,北海道,福島町
40,北海道,知内町
41,北海道,木古内町
42,北海道,七飯町
43,北海道,鹿部町
44,北海道,森町
45,北海道,八雲町
46,北海道,長万部町
47,北海道,江差町
48,北海道,上ノ国町
49,北海道,厚沢部町
50,北海道,乙部町
51,北海道,奥尻町
52,北海道,今金町
53,北海道,せたな町
54,北海道,島牧村
55,北海道,寿都町
56,北海道,黒松内町
57,北海道,蘭越町
58,北海道,ニセコ町
59,北海道,真狩村
60,北海道,留寿都村
61,北海道,喜茂別町
62,北海道,京極町
63,北海道,倶知安町
64,北海道,共和町
65,北海道,岩内町
66,北海道,泊村
67,北海道,神恵内村
68,北海道,積丹町
69,北海道,古平町
70,北海道,仁木町
71,北海道,余市町
72,北海道,赤井川村
73,北海道,南幌町
74,北海道,奈井江町
75,北海道,上砂川町
76,北海道,由仁町
77,北海道,長沼町
78,北海道,栗山町
79,北海道,月形町
80,北海道,浦臼町
81,北海道,新十津川町
82,北海道,妹背牛町
83,北海道,秩父別町
84,北海道,雨竜町
85,北海道,北竜町
86,北海道,沼田町
87,北海道,鷹栖町
88,北海道,東神楽町
89,北海道,当麻町
90,北海道,比布町
91,北海道,愛別町
92,北海道,上川町
93,北海道,東川町
94,北海道,美瑛町
95,北海道,上富良野町
96,北海道,中富良野町
97,北海道,南富良野町
98,北海道,占冠村
99,北海道,和寒町
100,北海道,剣淵町
101,北海道,下川町
102,北海道,美深町
103,北海道,音威子府村
104,北海道,中川町
105,北海道,幌加内町
106,北海道,増毛町
107,北海道,小平町
108,北海道,苫前町
109,北海道,羽幌町
110,北海道,初山別村
111,北海道,遠別町
112,北海道,天塩町
113,北海道,猿払村
114,北海道,浜頓別町
115,北海道,中頓別町
116,北海道,枝幸町
117,北海道,豊富町
118,北海道,礼文町
119,北海道,利尻町
120,北海道,利尻富士町
121,北海道,幌延町
122,北海道,美幌町
123,北海道,津別町
124,北海道,斜里町
125,北海道,清里町
126,北海道,小清水町
127,北海道,訓子府町
128,北海道,置戸町
129,北海道,佐呂間町
130,北海道,遠軽町
131,北海道,湧別町
132,北海道,滝上町
133,北海道,興部町
134,北海道,西興部村
135,北海道,雄武町
136,北海道,大空町
137,北海道,豊浦町
138,北海道,壮瞥町
139,北海道,白老町
140,北海道,厚真町
141,北海道,洞爺湖町
142,北海道,安平町
143,北海道,むかわ町
144,北海道,日高町
145,北海道,平取町
146,北海道,新冠町
147,北海道,浦河町
148,北海道,様似町
149,北海道,えりも町
150,北海道,新ひだか町
