Number,都道府県,市区町村,検索件数,検索URL,,Afghanistan
1,北海道,札幌市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Albania
2,北海道,函館市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%87%BD%E9%A4%A8%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Algeria
3,北海道,小樽市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B0%8F%E6%A8%BD%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Andorra
4,北海道,旭川市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%97%AD%E5%B7%9D%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Angola
5,北海道,室蘭市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%AE%A4%E8%98%AD%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Antigua and Barbuda
6,北海道,釧路市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E9%87%A7%E8%B7%AF%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Argentina
7,北海道,帯広市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B8%AF%E5%BA%83%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Armenia
8,北海道,北見市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%8C%97%E8%A6%8B%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Australia
9,北海道,夕張市,9,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%A4%95%E5%BC%B5%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,1.611143021,Austria
10,北海道,岩見沢市,20,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E5%B2%A9%E8%A6%8B%E6%B2%A2%E5%B8%82%20%E6%B5%B7%E5%A4%96%E6%96%99%E7%90%86%E3%80%80%E6%9C%AC%E5%A0%B4%E3%81%AE%E5%91%B3%E3%80%80%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%80%80%E5%A4%96%E5%9B%BD%E4%BA%BA%E5%BA%97%E4%B8%BB,5,Azerbaijan
