,,,人口密度,人口,面積(km2),
1,北海道,札幌市,1759.979844,1973395,112126,4.443997702
2,北海道,函館市,370.4014044,251084,67787,3.566341183
3,北海道,小樽市,456.4614691,111299,24383,3.692705342
4,北海道,旭川市,440.4488671,329306,74766,3.674325101
5,北海道,室蘭市,1016.948525,82383,8101,4.177484204
6,北海道,釧路市,121.0898875,165077,136326,2.661114302
7,北海道,帯広市,268.8926922,166536,61934,3.322802987
8,北海道,北見市,80.90177314,115480,142741,2.32797243
9,北海道,夕張市,9.611175908,7334,76307,1.197587593
10,北海道,岩見沢市,164.8704836,79306,48102,2.886272257
11,北海道,網走市,75.94724322,35759,47084,2.279724296
12,北海道,留萌市,67.53970652,20114,29781,2.18782309
13,北海道,苫小牧市,302.875405,170113,56166,3.403216542
14,北海道,稚内市,44.07948307,33563,76142,1.88454911
15,北海道,美唄市,73.51002917,20413,27769,2.249856404
16,北海道,芦別市,14.51377971,12555,86504,1.353819644
17,北海道,江別市,646.0454691,121056,18738,3.931648478
18,北海道,赤平市,74.66892516,9698,12988,2.256748995
19,北海道,紋別市,25.53962464,21215,83067,1.59276278
20,北海道,士別市,15.9557549,17858,111922,1.385985066
21,北海道,名寄市,51.00774034,27282,53486,1.981045376
22,北海道,三笠市,26.57675526,8040,30252,1.615738082
23,北海道,根室市,60.41048528,24636,40781,2.109707065
24,北海道,千歳市,164.7603028,97950,59450,2.883974727
25,北海道,滝川市,340.7247627,39490,11590,3.506605399
26,北海道,砂川市,209.5322827,16486,7868,3.102240092
27,北海道,歌志内市,53.42269884,2989,5595,2.024698449
28,北海道,深川市,37.85085565,20039,52942,1.785755313
29,北海道,富良野市,35.17670756,21131,60071,1.73980471
30,北海道,登別市,218.6089251,46391,21221,3.136703044
31,北海道,恵庭市,238.693365,70331,29465,3.212521539
32,北海道,伊達市,73.89748092,32826,44421,2.252153935
33,北海道,北広島市,488.6266275,58171,11905,3.747846065
34,北海道,石狩市,78.72994338,56869,72233,2.302699598
35,北海道,北斗市,111.4683977,44302,39744,2.612866169
36,北海道,当別町,37.63893487,15916,42286,1.781160253
37,北海道,新篠津村,39.00563813,3044,7804,1.804135554
38,北海道,松前町,21.34697357,6260,29325,1.505456634
39,北海道,福島町,20.26168224,3794,18725,1.489373923
40,北海道,知内町,21.17808498,4167,19676,1.503159104
41,北海道,木古内町,17.27215361,3832,22186,1.427340609
42,北海道,七飯町,127.7324106,27686,21675,2.713957496
43,北海道,鹿部町,33.98716442,3760,11063,1.721424469
44,北海道,森町,38.87849454,14338,36879,1.801838024
45,北海道,八雲町,16.55300812,15826,95608,1.406662837
46,北海道,長万部町,16.44033981,5109,31076,1.404365307
47,北海道,江差町,67.84800877,7428,10948,2.19241815
48,北海道,上ノ国町,7.861681151,4306,54772,1.158529581
49,北海道,厚沢部町,7.798862304,3592,46058,1.156232051
50,北海道,乙部町,20.92994649,3403,16259,1.496266513
51,北海道,奥尻町,16.85432548,2410,14299,1.415852958
52,北海道,今金町,8.925648922,5072,56825,1.186099943
53,北海道,せたな町,11.58326549,7398,63868,1.264215968
54,北海道,島牧村,3.101697241,1356,43718,1.025272832
55,北海道,寿都町,29.79527559,2838,9525,1.657093624
56,北海道,黒松内町,8.074641979,2791,34565,1.167719701
57,北海道,蘭越町,10.1560763,4568,44978,1.209075244
58,北海道,ニセコ町,25.73935981,5074,19713,1.59506031
59,北海道,真狩村,17.89934354,2045,11425,1.44112579
60,北海道,留寿都村,15.94626168,1911,11984,1.383687536
61,北海道,喜茂別町,11.38271475,2156,18941,1.259620908
62,北海道,京極町,12.70465247,2941,23149,1.29867892
