,,,気温,
1,北海道,札幌市,10.5,1.411257898
2,北海道,函館市,10.5,1.411257898
3,北海道,小樽市,10.5,1.411257898
4,北海道,旭川市,10.5,1.411257898
5,北海道,室蘭市,10.5,1.411257898
6,北海道,釧路市,10.5,1.411257898
7,北海道,帯広市,10.5,1.411257898
8,北海道,北見市,10.5,1.411257898
9,北海道,夕張市,10.5,1.411257898
10,北海道,岩見沢市,10.5,1.411257898
11,北海道,網走市,10.5,1.411257898
12,北海道,留萌市,10.5,1.411257898
13,北海道,苫小牧市,10.5,1.411257898
14,北海道,稚内市,10.5,1.411257898
15,北海道,美唄市,10.5,1.411257898
16,北海道,芦別市,10.5,1.411257898
17,北海道,江別市,10.5,1.411257898
18,北海道,赤平市,10.5,1.411257898
19,北海道,紋別市,10.5,1.411257898
20,北海道,士別市,10.5,1.411257898
21,北海道,名寄市,10.5,1.411257898
22,北海道,三笠市,10.5,1.411257898
23,北海道,根室市,10.5,1.411257898
24,北海道,千歳市,10.5,1.411257898
25,北海道,滝川市,10.5,1.411257898
26,北海道,砂川市,10.5,1.411257898
27,北海道,歌志内市,10.5,1.411257898
28,北海道,深川市,10.5,1.411257898
29,北海道,富良野市,10.5,1.411257898
30,北海道,登別市,10.5,1.411257898
31,北海道,恵庭市,10.5,1.411257898
32,北海道,伊達市,10.5,1.411257898
33,北海道,北広島市,10.5,1.411257898
34,北海道,石狩市,10.5,1.411257898
35,北海道,北斗市,10.5,1.411257898
36,北海道,当別町,10.5,1.411257898
37,北海道,新篠津村,10.5,1.411257898
38,北海道,松前町,10.5,1.411257898
39,北海道,福島町,10.5,1.411257898
40,北海道,知内町,10.5,1.411257898
41,北海道,木古内町,10.5,1.411257898
42,北海道,七飯町,10.5,1.411257898
43,北海道,鹿部町,10.5,1.411257898
44,北海道,森町,10.5,1.411257898
45,北海道,八雲町,10.5,1.411257898
46,北海道,長万部町,10.5,1.411257898
47,北海道,江差町,10.5,1.411257898
48,北海道,上ノ国町,10.5,1.411257898
49,北海道,厚沢部町,10.5,1.411257898
50,北海道,乙部町,10.5,1.411257898
51,北海道,奥尻町,10.5,1.411257898
52,北海道,今金町,10.5,1.411257898
53,北海道,せたな町,10.5,1.411257898
54,北海道,島牧村,10.5,1.411257898
55,北海道,寿都町,10.5,1.411257898
56,北海道,黒松内町,10.5,1.411257898
57,北海道,蘭越町,10.5,1.411257898
58,北海道,ニセコ町,10.5,1.411257898
59,北海道,真狩村,10.5,1.411257898
60,北海道,留寿都村,10.5,1.411257898
61,北海道,喜茂別町,10.5,1.411257898
62,北海道,京極町,10.5,1.411257898
63,北海道,倶知安町,10.5,1.411257898
64,北海道,共和町,10.5,1.411257898
65,北海道,岩内町,10.5,1.411257898
66,北海道,泊村,10.5,1.411257898
67,北海道,神恵内村,10.5,1.411257898
68,北海道,積丹町,10.5,1.411257898
69,北海道,古平町,10.5,1.411257898
70,北海道,仁木町,10.5,1.411257898
71,北海道,余市町,10.5,1.411257898
72,北海道,赤井川村,10.5,1.411257898
73,北海道,南幌町,10.5,1.411257898
74,北海道,奈井江町,10.5,1.411257898
75,北海道,上砂川町,10.5,1.411257898
76,北海道,由仁町,10.5,1.411257898
77,北海道,長沼町,10.5,1.411257898
78,北海道,栗山町,10.5,1.411257898
79,北海道,月形町,10.5,1.411257898
80,北海道,浦臼町,10.5,1.411257898
81,北海道,新十津川町,10.5,1.411257898
82,北海道,妹背牛町,10.5,1.411257898
83,北海道,秩父別町,10.5,1.411257898
84,北海道,雨竜町,10.5,1.411257898
85,北海道,北竜町,10.5,1.411257898
86,北海道,沼田町,10.5,1.411257898
87,北海道,鷹栖町,10.5,1.411257898
88,北海道,東神楽町,10.5,1.411257898
89,北海道,当麻町,10.5,1.411257898
90,北海道,比布町,10.5,1.411257898
91,北海道,愛別町,10.5,1.411257898
92,北海道,上川町,10.5,1.411257898
93,北海道,東川町,10.5,1.411257898
94,北海道,美瑛町,10.5,1.411257898
95,北海道,上富良野町,10.5,1.411257898
96,北海道,中富良野町,10.5,1.411257898
97,北海道,南富良野町,10.5,1.411257898
98,北海道,占冠村,10.5,1.411257898
99,北海道,和寒町,10.5,1.411257898
100,北海道,剣淵町,10.5,1.411257898
101,北海道,下川町,10.5,1.411257898
102,北海道,美深町,10.5,1.411257898
103,北海道,音威子府村,10.5,1.411257898
104,北海道,中川町,10.5,1.411257898
105,北海道,幌加内町,10.5,1.411257898
106,北海道,増毛町,10.5,1.411257898
107,北海道,小平町,10.5,1.411257898
108,北海道,苫前町,10.5,1.411257898
109,北海道,羽幌町,10.5,1.411257898
110,北海道,初山別村,10.5,1.411257898
111,北海道,遠別町,10.5,1.411257898
112,北海道,天塩町,10.5,1.411257898
113,北海道,猿払村,10.5,1.411257898
114,北海道,浜頓別町,10.5,1.411257898
115,北海道,中頓別町,10.5,1.411257898
116,北海道,枝幸町,10.5,1.411257898
117,北海道,豊富町,10.5,1.411257898
118,北海道,礼文町,10.5,1.411257898
119,北海道,利尻町,10.5,1.411257898
120,北海道,利尻富士町,10.5,1.411257898
121,北海道,幌延町,10.5,1.411257898
122,北海道,美幌町,10.5,1.411257898
123,北海道,津別町,10.5,1.411257898
124,北海道,斜里町,10.5,1.411257898
125,北海道,清里町,10.5,1.411257898
126,北海道,小清水町,10.5,1.411257898
127,北海道,訓子府町,10.5,1.411257898
128,北海道,置戸町,10.5,1.411257898
129,北海道,佐呂間町,10.5,1.411257898
130,北海道,遠軽町,10.5,1.411257898
131,北海道,湧別町,10.5,1.411257898
132,北海道,滝上町,10.5,1.411257898
133,北海道,興部町,10.5,1.411257898
134,北海道,西興部村,10.5,1.411257898
135,北海道,雄武町,10.5,1.411257898
136,北海道,大空町,10.5,1.411257898
137,北海道,豊浦町,10.5,1.411257898
138,北海道,壮瞥町,10.5,1.411257898
139,北海道,白老町,10.5,1.411257898
140,北海道,厚真町,10.5,1.411257898
141,北海道,洞爺湖町,10.5,1.411257898
142,北海道,安平町,10.5,1.411257898
143,北海道,むかわ町,10.5,1.411257898
144,北海道,日高町,10.5,1.411257898
145,北海道,平取町,10.5,1.411257898
146,北海道,新冠町,10.5,1.411257898
147,北海道,浦河町,10.5,1.411257898
148,北海道,様似町,10.5,1.411257898
149,北海道,えりも町,10.5,1.411257898
150,北海道,新ひだか町,10.5,1.411257898
151,北海道,音更町,10.5,1.411257898
152,北海道,士幌町,10.5,1.411257898
153,北海道,上士幌町,10.5,1.411257898
154,北海道,鹿追町,10.5,1.411257898
155,北海道,新得町,10.5,1.411257898
156,北海道,清水町,10.5,1.411257898
157,北海道,芽室町,10.5,1.411257898
158,北海道,中札内村,10.5,1.411257898
159,北海道,更別村,10.5,1.411257898
160,北海道,大樹町,10.5,1.411257898
161,北海道,広尾町,10.5,1.411257898
162,北海道,幕別町,10.5,1.411257898
163,北海道,池田町,10.5,1.411257898
164,北海道,豊頃町,10.5,1.411257898
165,北海道,本別町,10.5,1.411257898
166,北海道,足寄町,10.5,1.411257898
167,北海道,陸別町,10.5,1.411257898
168,北海道,浦幌町,10.5,1.411257898
169,北海道,釧路町,10.5,1.411257898
170,北海道,厚岸町,10.5,1.411257898
171,北海道,浜中町,10.5,1.411257898
172,北海道,標茶町,10.5,1.411257898
173,北海道,弟子屈町,10.5,1.411257898
174,北海道,鶴居村,10.5,1.411257898
175,北海道,白糠町,10.5,1.411257898
176,北海道,別海町,10.5,1.411257898
177,北海道,中標津町,10.5,1.411257898
178,北海道,標津町,10.5,1.411257898
179,北海道,羅臼町,10.5,1.411257898
180,青森県,青森市,12.3,1.503159104
181,青森県,弘前市,12.3,1.503159104
182,青森県,八戸市,12.3,1.503159104
183,青森県,黒石市,12.3,1.503159104
184,青森県,五所川原市,12.3,1.503159104
185,青森県,十和田市,12.3,1.503159104
186,青森県,三沢市,12.3,1.503159104
187,青森県,むつ市,12.3,1.503159104
188,青森県,つがる市,12.3,1.503159104
189,青森県,平川市,12.3,1.503159104
190,青森県,平内町,12.3,1.503159104
191,青森県,今別町,12.3,1.503159104
192,青森県,蓬田村,12.3,1.503159104
193,青森県,外ヶ浜町,12.3,1.503159104
194,青森県,鰺ヶ沢町,12.3,1.503159104
195,青森県,深浦町,12.3,1.503159104
196,青森県,西目屋村,12.3,1.503159104
197,青森県,藤崎町,12.3,1.503159104
198,青森県,大鰐町,12.3,1.503159104
199,青森県,田舎館村,12.3,1.503159104
200,青森県,板柳町,12.3,1.503159104
201,青森県,鶴田町,12.3,1.503159104
202,青森県,中泊町,12.3,1.503159104
203,青森県,野辺地町,12.3,1.503159104
204,青森県,七戸町,12.3,1.503159104
205,青森県,六戸町,12.3,1.503159104
206,青森県,横浜町,12.3,1.503159104
207,青森県,東北町,12.3,1.503159104
208,青森県,六ヶ所村,12.3,1.503159104
209,青森県,おいらせ町,12.3,1.503159104
210,青森県,大間町,12.3,1.503159104
211,青森県,東通村,12.3,1.503159104
212,青森県,風間浦村,12.3,1.503159104
213,青森県,佐井村,12.3,1.503159104
214,青森県,三戸町,12.3,1.503159104
215,青森県,五戸町,12.3,1.503159104
216,青森県,田子町,12.3,1.503159104
217,青森県,南部町,12.3,1.503159104
218,青森県,階上町,12.3,1.503159104
219,青森県,新郷村,12.3,1.503159104
220,岩手県,盛岡市,12.6,1.578977599
221,岩手県,宮古市,12.6,1.578977599
222,岩手県,大船渡市,12.6,1.578977599
223,岩手県,花巻市,12.6,1.578977599
224,岩手県,北上市,12.6,1.578977599
225,岩手県,久慈市,12.6,1.578977599
226,岩手県,遠野市,12.6,1.578977599
227,岩手県,一関市,12.6,1.578977599
228,岩手県,陸前高田市,12.6,1.578977599
229,岩手県,釜石市,12.6,1.578977599
230,岩手県,二戸市,12.6,1.578977599
231,岩手県,八幡平市,12.6,1.578977599
232,岩手県,奥州市,12.6,1.578977599
233,岩手県,滝沢市,12.6,1.578977599
234,岩手県,雫石町,12.6,1.578977599
235,岩手県,葛巻町,12.6,1.578977599
236,岩手県,岩手町,12.6,1.578977599
237,岩手県,紫波町,12.6,1.578977599
238,岩手県,矢巾町,12.6,1.578977599
239,岩手県,西和賀町,12.6,1.578977599
240,岩手県,金ケ崎町,12.6,1.578977599
241,岩手県,平泉町,12.6,1.578977599
242,岩手県,住田町,12.6,1.578977599
243,岩手県,大槌町,12.6,1.578977599
244,岩手県,山田町,12.6,1.578977599
245,岩手県,岩泉町,12.6,1.578977599
246,岩手県,田野畑村,12.6,1.578977599
247,岩手県,普代村,12.6,1.578977599
248,岩手県,軽米町,12.6,1.578977599
249,岩手県,野田村,12.6,1.578977599
250,岩手県,九戸村,12.6,1.578977599
251,岩手県,洋野町,12.6,1.578977599
252,岩手県,一戸町,12.6,1.578977599
253,宮城県,仙台市,14.9,1.974152786
254,宮城県,石巻市,14.9,1.974152786
255,宮城県,塩竈市,14.9,1.974152786
256,宮城県,気仙沼市,14.9,1.974152786
257,宮城県,白石市,14.9,1.974152786
258,宮城県,名取市,14.9,1.974152786
259,宮城県,角田市,14.9,1.974152786
260,宮城県,多賀城市,14.9,1.974152786
261,宮城県,岩沼市,14.9,1.974152786
262,宮城県,登米市,14.9,1.974152786
263,宮城県,栗原市,14.9,1.974152786
264,宮城県,東松島市,14.9,1.974152786
265,宮城県,大崎市,14.9,1.974152786
266,宮城県,富谷市,14.9,1.974152786
267,宮城県,蔵王町,14.9,1.974152786
268,宮城県,七ヶ宿町,14.9,1.974152786
269,宮城県,大河原町,14.9,1.974152786
270,宮城県,村田町,14.9,1.974152786
271,宮城県,柴田町,14.9,1.974152786
272,宮城県,川崎町,14.9,1.974152786
273,宮城県,丸森町,14.9,1.974152786
274,宮城県,亘理町,14.9,1.974152786
275,宮城県,山元町,14.9,1.974152786
276,宮城県,松島町,14.9,1.974152786
277,宮城県,七ヶ浜町,14.9,1.974152786
278,宮城県,利府町,14.9,1.974152786
279,宮城県,大和町,14.9,1.974152786
280,宮城県,大郷町,14.9,1.974152786
281,宮城県,大衡村,14.9,1.974152786
282,宮城県,色麻町,14.9,1.974152786
283,宮城県,加美町,14.9,1.974152786
284,宮城県,涌谷町,14.9,1.974152786
285,宮城県,美里町,14.9,1.974152786
286,宮城県,女川町,14.9,1.974152786
287,宮城県,南三陸町,14.9,1.974152786
288,秋田県,秋田市,13.5,1.636415853
289,秋田県,能代市,13.5,1.636415853
290,秋田県,横手市,13.5,1.636415853
291,秋田県,大館市,13.5,1.636415853
292,秋田県,男鹿市,13.5,1.636415853
293,秋田県,湯沢市,13.5,1.636415853
294,秋田県,鹿角市,13.5,1.636415853
295,秋田県,由利本荘市,13.5,1.636415853
296,秋田県,潟上市,13.5,1.636415853
297,秋田県,大仙市,13.5,1.636415853
298,秋田県,北秋田市,13.5,1.636415853
299,秋田県,にかほ市,13.5,1.636415853
300,秋田県,仙北市,13.5,1.636415853
301,秋田県,小坂町,13.5,1.636415853
302,秋田県,上小阿仁村,13.5,1.636415853
303,秋田県,藤里町,13.5,1.636415853
304,秋田県,三種町,13.5,1.636415853
305,秋田県,八峰町,13.5,1.636415853
306,秋田県,五城目町,13.5,1.636415853
307,秋田県,八郎潟町,13.5,1.636415853
308,秋田県,井川町,13.5,1.636415853
309,秋田県,大潟村,13.5,1.636415853
310,秋田県,美郷町,13.5,1.636415853
311,秋田県,羽後町,13.5,1.636415853
312,秋田県,東成瀬村,13.5,1.636415853
313,山形県,山形市,13.9,1.89373923
314,山形県,米沢市,13.9,1.89373923
315,山形県,鶴岡市,13.9,1.89373923
316,山形県,酒田市,13.9,1.89373923
317,山形県,新庄市,13.9,1.89373923
318,山形県,寒河江市,13.9,1.89373923
319,山形県,上山市,13.9,1.89373923
320,山形県,村山市,13.9,1.89373923
321,山形県,長井市,13.9,1.89373923
322,山形県,天童市,13.9,1.89373923
323,山形県,東根市,13.9,1.89373923
324,山形県,尾花沢市,13.9,1.89373923
325,山形県,南陽市,13.9,1.89373923
326,山形県,山辺町,13.9,1.89373923
327,山形県,中山町,13.9,1.89373923
328,山形県,河北町,13.9,1.89373923
329,山形県,西川町,13.9,1.89373923
330,山形県,朝日町,13.9,1.89373923
331,山形県,大江町,13.9,1.89373923
332,山形県,大石田町,13.9,1.89373923
333,山形県,金山町,13.9,1.89373923
334,山形県,最上町,13.9,1.89373923
335,山形県,舟形町,13.9,1.89373923
336,山形県,真室川町,13.9,1.89373923
337,山形県,大蔵村,13.9,1.89373923
338,山形県,鮭川村,13.9,1.89373923
339,山形県,戸沢村,13.9,1.89373923
340,山形県,高畠町,13.9,1.89373923
341,山形県,川西町,13.9,1.89373923
342,山形県,小国町,13.9,1.89373923
343,山形県,白鷹町,13.9,1.89373923
344,山形県,飯豊町,13.9,1.89373923
345,山形県,三川町,13.9,1.89373923
346,山形県,庄内町,13.9,1.89373923
347,山形県,遊佐町,13.9,1.89373923
348,福島県,福島市,15.3,2.17863297
349,福島県,会津若松市,15.3,2.17863297
350,福島県,郡山市,15.3,2.17863297
351,福島県,いわき市,15.3,2.17863297
