,,,,rank,,,,,,
1,北海道,札幌市,44793,1053,2.582998277,,,,,
2,北海道,函館市,44793,1053,2.582998277,,,,,
3,北海道,小樽市,44793,1053,2.582998277,,,,,
4,北海道,旭川市,44793,1053,2.582998277,,,,,
5,北海道,室蘭市,44793,1053,2.582998277,,,,,
6,北海道,釧路市,44793,1053,2.582998277,,,,,
7,北海道,帯広市,44793,1053,2.582998277,,,,,
8,北海道,北見市,44793,1053,2.582998277,,,,,
9,北海道,夕張市,44793,1053,2.582998277,,,,,
10,北海道,岩見沢市,44793,1053,2.582998277,,,,,
11,北海道,網走市,44793,1053,2.582998277,,,,,
12,北海道,留萌市,44793,1053,2.582998277,,,,,
13,北海道,苫小牧市,44793,1053,2.582998277,,,,,
14,北海道,稚内市,44793,1053,2.582998277,,,,,
15,北海道,美唄市,44793,1053,2.582998277,,,,,
16,北海道,芦別市,44793,1053,2.582998277,,,,,
17,北海道,江別市,44793,1053,2.582998277,,,,,
18,北海道,赤平市,44793,1053,2.582998277,,,,,
19,北海道,紋別市,44793,1053,2.582998277,,,,,
20,北海道,士別市,44793,1053,2.582998277,,,,,
21,北海道,名寄市,44793,1053,2.582998277,,,,,
22,北海道,三笠市,44793,1053,2.582998277,,,,,
23,北海道,根室市,44793,1053,2.582998277,,,,,
24,北海道,千歳市,44793,1053,2.582998277,,,,,
25,北海道,滝川市,44793,1053,2.582998277,,,,,
26,北海道,砂川市,44793,1053,2.582998277,,,,,
27,北海道,歌志内市,44793,1053,2.582998277,,,,,
28,北海道,深川市,44793,1053,2.582998277,,,,,
29,北海道,富良野市,44793,1053,2.582998277,,,,,
30,北海道,登別市,44793,1053,2.582998277,,,,,
31,北海道,恵庭市,44793,1053,2.582998277,,,,,
32,北海道,伊達市,44793,1053,2.582998277,,,,,
33,北海道,北広島市,44793,1053,2.582998277,,,,,
34,北海道,石狩市,44793,1053,2.582998277,,,,,
35,北海道,北斗市,44793,1053,2.582998277,,,,,
36,北海道,当別町,44793,1053,2.582998277,,,,,
37,北海道,新篠津村,44793,1053,2.582998277,,,,,
38,北海道,松前町,44793,1053,2.582998277,,,,,
39,北海道,福島町,44793,1053,2.582998277,,,,,
40,北海道,知内町,44793,1053,2.582998277,,,,,
41,北海道,木古内町,44793,1053,2.582998277,,,,,
42,北海道,七飯町,44793,1053,2.582998277,,,,,
43,北海道,鹿部町,44793,1053,2.582998277,,,,,
44,北海道,森町,44793,1053,2.582998277,,,,,
45,北海道,八雲町,44793,1053,2.582998277,,,,,
46,北海道,長万部町,44793,1053,2.582998277,,,,,
47,北海道,江差町,44793,1053,2.582998277,,,,,
48,北海道,上ノ国町,44793,1053,2.582998277,,,,,
49,北海道,厚沢部町,44793,1053,2.582998277,,,,,
50,北海道,乙部町,44793,1053,2.582998277,,,,,
51,北海道,奥尻町,44793,1053,2.582998277,,,,,
52,北海道,今金町,44793,1053,2.582998277,,,,,
53,北海道,せたな町,44793,1053,2.582998277,,,,,
54,北海道,島牧村,44793,1053,2.582998277,,,,,
55,北海道,寿都町,44793,1053,2.582998277,,,,,
56,北海道,黒松内町,44793,1053,2.582998277,,,,,
57,北海道,蘭越町,44793,1053,2.582998277,,,,,
58,北海道,ニセコ町,44793,1053,2.582998277,,,,,
59,北海道,真狩村,44793,1053,2.582998277,,,,,
60,北海道,留寿都村,44793,1053,2.582998277,,,,,
61,北海道,喜茂別町,44793,1053,2.582998277,,,,,
62,北海道,京極町,44793,1053,2.582998277,,,,,
63,北海道,倶知安町,44793,1053,2.582998277,,,,,
64,北海道,共和町,44793,1053,2.582998277,,,,,
65,北海道,岩内町,44793,1053,2.582998277,,,,,
66,北海道,泊村,44793,1053,2.582998277,,,,,
67,北海道,神恵内村,44793,1053,2.582998277,,,,,
68,北海道,積丹町,44793,1053,2.582998277,,,,,
69,北海道,古平町,44793,1053,2.582998277,,,,,
70,北海道,仁木町,44793,1053,2.582998277,,,,,
71,北海道,余市町,44793,1053,2.582998277,,,,,
72,北海道,赤井川村,44793,1053,2.582998277,,,,,
73,北海道,南幌町,44793,1053,2.582998277,,,,,
74,北海道,奈井江町,44793,1053,2.582998277,,,,,
75,北海道,上砂川町,44793,1053,2.582998277,,,,,
76,北海道,由仁町,44793,1053,2.582998277,,,,,
77,北海道,長沼町,44793,1053,2.582998277,,,,,
78,北海道,栗山町,44793,1053,2.582998277,,,,,
79,北海道,月形町,44793,1053,2.582998277,,,,,
80,北海道,浦臼町,44793,1053,2.582998277,,,,,
81,北海道,新十津川町,44793,1053,2.582998277,,,,,
82,北海道,妹背牛町,44793,1053,2.582998277,,,,,
83,北海道,秩父別町,44793,1053,2.582998277,,,,,
84,北海道,雨竜町,44793,1053,2.582998277,,,,,
85,北海道,北竜町,44793,1053,2.582998277,,,,,
86,北海道,沼田町,44793,1053,2.582998277,,,,,
87,北海道,鷹栖町,44793,1053,2.582998277,,,,,
