prefecture,city_name,percent
hokkaido,札幌市中央区,1.04
hokkaido,釧路郡,0.70
hokkaido,札幌市北区,0.55
hokkaido,上川郡下川町,0.54
hokkaido,千歳市,0.53
hokkaido,札幌市豊平区,0.47
hokkaido,苫小牧市,0.46
hokkaido,勇払郡,0.46
hokkaido,札幌市東区,0.44
hokkaido,恵庭市,0.43
hokkaido,虻田郡留寿都村,0.42
hokkaido,札幌市白石区,0.41
hokkaido,旭川市,0.40
hokkaido,函館市,0.39
hokkaido,上川郡愛別町,0.38
hokkaido,札幌市西区,0.37
hokkaido,江別市,0.37
hokkaido,石狩市,0.37
hokkaido,札幌市厚別区,0.36
hokkaido,雨竜郡,0.36
hokkaido,三笠市,0.35
hokkaido,余市郡赤井川村,0.34
hokkaido,空知郡南富良野町,0.34
hokkaido,雨竜郡沼田町,0.34
hokkaido,帯広市,0.33
hokkaido,石狩郡当別町,0.33
hokkaido,天塩郡,0.33
hokkaido,雨竜郡雨竜町,0.33
hokkaido,滝川市,0.32
hokkaido,美唄市,0.32
hokkaido,寿都郡黒松内町,0.32
hokkaido,余市郡仁木町,0.31
hokkaido,夕張郡栗山町,0.31
hokkaido,札幌市手稲区,0.30
hokkaido,札幌市清田区,0.30
hokkaido,虻田郡倶知安町,0.30
hokkaido,釧路市,0.29
hokkaido,小樽市,0.29
hokkaido,稚内市,0.29
hokkaido,上磯郡木古内町,0.29
hokkaido,札幌市南区,0.28
hokkaido,網走市,0.28
hokkaido,余市郡余市町,0.28
hokkaido,北斗市,0.28
hokkaido,深川市,0.27
hokkaido,北見市,0.26
hokkaido,室蘭市,0.26
hokkaido,根室市,0.26
hokkaido,川上郡弟子屈町,0.26
hokkaido,日高郡,0.26
hokkaido,砂川市,0.26
hokkaido,岩内郡岩内町,0.26
hokkaido,増毛郡,0.26
hokkaido,勇払郡むかわ町,0.26
hokkaido,北広島市,0.25
hokkaido,岩見沢市,0.25
hokkaido,河東郡音更町,0.25
hokkaido,斜里郡斜里町,0.25
hokkaido,空知郡上砂川町,0.25
hokkaido,檜山郡厚沢部町,0.25
hokkaido,天塩郡,0.25
hokkaido,苫前郡苫前町,0.24
hokkaido,登別市,0.23
hokkaido,紋別市,0.23
hokkaido,留萌市,0.23
hokkaido,雨竜郡北竜町,0.23
hokkaido,檜山郡江差町,0.23
hokkaido,樺戸郡浦臼町,0.23
hokkaido,標津郡中標津町,0.22
hokkaido,磯谷郡,0.22
hokkaido,白老郡,0.22
hokkaido,島牧郡,0.22
hokkaido,古平郡,0.22
hokkaido,上川郡美瑛町,0.21
hokkaido,中川郡幕別町,0.21
hokkaido,中川郡本別町,0.21
hokkaido,赤平市,0.21
hokkaido,二海郡,0.21
hokkaido,芦別市,0.21
hokkaido,寿都郡寿都町,0.21
hokkaido,網走郡,0.21
hokkaido,上川郡比布町,0.20
hokkaido,虻田郡ニセコ町,0.20
hokkaido,石狩郡新篠津村,0.20
hokkaido,伊達市,0.20
hokkaido,夕張郡長沼町,0.20
hokkaido,夕張市,0.20
hokkaido,沙流郡日高町,0.20
hokkaido,広尾郡広尾町,0.20
hokkaido,紋別郡遠軽町,0.20
hokkaido,名寄市,0.19
hokkaido,沙流郡平取町,0.19
hokkaido,目梨郡,0.19
hokkaido,岩内郡共和町,0.19
hokkaido,樺戸郡新十津川町,0.19
hokkaido,苫前郡初山別村,0.19
hokkaido,亀田郡,0.18
hokkaido,茅部郡森町,0.18
hokkaido,常呂郡置戸町,0.18
hokkaido,士別市,0.18
hokkaido,山越郡,0.18
hokkaido,勇払郡,0.18
hokkaido,十勝郡,0.18
hokkaido,浦河郡,0.18
hokkaido,上川郡鷹栖町,0.17
hokkaido,上川郡上川町,0.17
hokkaido,網走郡美幌町,0.17
hokkaido,雨竜郡秩父別町,0.17
hokkaido,足寄郡足寄町,0.17
hokkaido,富良野市,0.16
hokkaido,上川郡東川町,0.16
hokkaido,河西郡更別村,0.16
hokkaido,積丹郡,0.16
hokkaido,天塩郡遠別町,0.16
hokkaido,川上郡標茶町,0.15
hokkaido,河西郡中札内村,0.15
hokkaido,厚岸郡浜中町,0.15
hokkaido,虻田郡,0.15
hokkaido,空知郡上富良野町,0.15
hokkaido,上川郡当麻町,0.14
hokkaido,虻田郡喜茂別町,0.14
hokkaido,中川郡美深町,0.14
hokkaido,松前郡松前町,0.14
hokkaido,空知郡南幌町,0.14
hokkaido,空知郡奈井江町,0.14
hokkaido,上磯郡知内町,0.14
hokkaido,苫前郡羽幌町,0.14
hokkaido,天塩郡天塩町,0.14
hokkaido,勇払郡安平町,0.14
hokkaido,上川郡和寒町,0.13
hokkaido,中川郡中川町,0.13
hokkaido,斜里郡清里町,0.13
hokkaido,新冠郡,0.13
hokkaido,留萌郡,0.13
hokkaido,足寄郡陸別町,0.13
hokkaido,上川郡東神楽町,0.12
hokkaido,夕張郡由仁町,0.12
hokkaido,河西郡芽室町,0.12
hokkaido,白糠郡,0.12
hokkaido,上川郡新得町,0.12
hokkaido,野付郡,0.12
hokkaido,阿寒郡,0.12
hokkaido,利尻郡利尻富士町,0.12
hokkaido,紋別郡雄武町,0.12
hokkaido,枝幸郡枝幸町,0.12
hokkaido,様似郡,0.12
hokkaido,中川郡池田町,0.11
hokkaido,茅部郡鹿部町,0.11
hokkaido,上川郡清水町,0.11
hokkaido,紋別郡興部町,0.11
hokkaido,虻田郡真狩村,0.10
hokkaido,常呂郡佐呂間町,0.10
hokkaido,厚岸郡厚岸町,0.10
hokkaido,紋別郡湧別町,0.10
hokkaido,河東郡士幌町,0.09
hokkaido,久遠郡,0.09
hokkaido,河東郡鹿追町,0.08
hokkaido,空知郡中富良野町,0.08
hokkaido,松前郡福島町,0.08
hokkaido,礼文郡,0.08
hokkaido,樺戸郡月形町,0.08
hokkaido,紋別郡滝上町,0.08
hokkaido,奥尻郡,0.08
